ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
483,leg_foot-133,,,data,2098,FOOT OR LEG
484,leg_foot-134,,,data,2098,FOOT OR LEG
485,leg_foot-135,,,data,2098,FOOT OR LEG
486,leg_foot-136,,,data,2098,FOOT OR LEG
487,leg_foot-137,,,data,2098,FOOT OR LEG
488,leg_foot-138,,,data,2098,FOOT OR LEG
489,leg_foot-139,,,data,2098,FOOT OR LEG
490,leg_foot-140,,,data,2098,FOOT OR LEG
491,leg_foot-141,,,data,2098,FOOT OR LEG
492,leg_foot-142,,,data,2098,FOOT OR LEG
493,leg_foot-143,,,data,2098,FOOT OR LEG
494,leg_foot-144,,,data,2098,FOOT OR LEG
495,leg_foot-145,,,data,2098,FOOT OR LEG
496,leg_foot-146,,,data,2098,FOOT OR LEG
497,leg_foot-147,,,data,2098,FOOT OR LEG
498,leg_foot-148,,,data,2098,FOOT OR LEG
499,leg_foot-149,,,data,2098,FOOT OR LEG
500,leg_foot-150,,,data,2098,FOOT OR LEG
501,leg_foot-151,,,data,2098,FOOT OR LEG
502,leg_foot-152,,,data,2098,FOOT OR LEG
503,leg_foot-153,,,data,2098,FOOT OR LEG
504,leg_foot-154,,,data,2098,FOOT OR LEG
505,leg_foot-155,,,data,2098,FOOT OR LEG
506,leg_foot-156,,,data,2098,FOOT OR LEG
507,leg_foot-157,,,data,2098,FOOT OR LEG
508,leg_foot-158,,,data,2098,FOOT OR LEG
509,leg_foot-159,,,data,2098,FOOT OR LEG
510,leg_foot-160,,,data,2098,FOOT OR LEG
511,leg_foot-161,,,data,2098,FOOT OR LEG
512,leg_foot-162,,,data,2098,FOOT OR LEG
513,leg_foot-163,,,data,2098,FOOT OR LEG
514,leg_foot-164,,,data,2098,FOOT OR LEG
515,leg_foot-165,,,data,2098,FOOT OR LEG
516,leg_foot-166,,,data,2098,FOOT OR LEG
517,leg_foot-167,,,data,2098,FOOT OR LEG
518,leg_foot-168,,,data,2098,FOOT OR LEG
519,leg_foot-169,,,data,2098,FOOT OR LEG
520,leg_foot-170,,,data,2098,FOOT OR LEG
521,leg_foot-171,,,data,2098,FOOT OR LEG
522,leg_foot-172,,,data,2098,FOOT OR LEG
523,leg_foot-173,,,data,2098,FOOT OR LEG
524,leg_foot-174,,,data,2098,FOOT OR LEG
525,leg_foot-175,,,data,2098,FOOT OR LEG
526,leg_foot-176,,,data,2098,FOOT OR LEG
527,leg_foot-177,,,data,2098,FOOT OR LEG
528,leg_foot-178,,,data,2098,FOOT OR LEG
529,leg_foot-179,,,data,2098,FOOT OR LEG
530,leg_foot-180,,,data,2098,FOOT OR LEG
531,leg_foot-181,,,data,2098,FOOT OR LEG
532,leg_foot-182,,,data,2098,FOOT OR LEG
533,to_walk-1,,,data,1443,WALK
534,to_walk-2,,,data,1443,WALK
535,to_walk-3,,,data,1443,WALK
536,to_walk-4,,,data,1443,WALK
537,to_walk-5,,,data,1443,WALK
538,to_walk-6,,,data,1443,WALK
539,to_walk-7,,,data,1443,WALK
540,to_walk-8,,,data,1443,WALK
541,to_walk-9,,,data,1443,WALK
542,to_walk-10,,,data,1443,WALK
543,to_walk-11,,,data,1443,WALK
544,to_walk-12,,,data,1443,WALK
545,to_walk-13,,,data,1443,WALK
546,to_walk-14,,,data,1443,WALK
547,to_walk-15,,,data,1443,WALK
548,to_walk-16,,,data,1443,WALK
549,to_walk-17,,,data,1443,WALK
550,to_walk-18,,,data,1443,WALK
551,to_walk-19,,,data,1443,WALK
552,to_walk-20,,,data,1443,WALK
553,to_walk-21,,,data,1443,WALK
554,to_walk-22,,,data,1443,WALK
555,to_walk-23,,,data,1443,WALK
556,to_walk-24,,,data,1443,WALK
557,to_walk-25,,,data,1443,WALK
558,to_walk-26,,,data,1443,WALK
559,to_walk-27,,,data,1443,WALK
560,to_walk-28,,,data,1443,WALK
561,to_walk-29,,,data,1443,WALK
562,to_walk-30,,,data,1443,WALK
563,to_walk-31,,,data,1443,WALK
564,to_walk-32,,,data,1443,WALK
565,to_walk-33,,,data,1443,WALK
566,to_walk-34,,,data,1443,WALK
567,to_walk-35,,,data,1443,WALK
568,to_walk-36,,,data,1443,WALK
569,to_walk-37,,,data,1443,WALK
570,to_walk-38,,,data,1443,WALK
571,to_walk-39,,,data,1443,WALK
572,to_walk-40,,,data,1443,WALK
573,to_walk-41,,,data,1443,WALK
574,to_walk-42,,,data,1443,WALK
575,to_walk-43,,,data,1443,WALK
576,to_walk-44,,,data,1443,WALK
577,to_walk-45,,,data,1443,WALK
578,to_walk-46,,,data,1443,WALK
579,to_walk-47,,,data,1443,WALK
580,to_walk-48,,,data,1443,WALK
581,to_walk-49,,,data,1443,WALK
582,to_walk-50,,,data,1443,WALK
583,to_walk-51,,,data,1443,WALK
584,to_walk-52,,,data,1443,WALK
585,to_walk-53,,,data,1443,WALK
586,to_walk-54,,,data,1443,WALK
587,to_walk-55,,,data,1443,WALK
588,to_walk-56,,,data,1443,WALK
589,to_walk-57,,,data,1443,WALK
590,to_walk-58,,,data,1443,WALK
591,to_walk-59,,,data,1443,WALK
592,to_walk-60,,,data,1443,WALK
593,to_walk-61,,,data,1443,WALK
594,to_walk-62,,,data,1443,WALK
595,to_walk-63,,,data,1443,WALK
596,to_walk-64,,,data,1443,WALK
597,to_walk-65,,,data,1443,WALK
598,to_walk-66,,,data,1443,WALK
599,to_walk-67,,,data,1443,WALK
600,to_walk-68,,,data,1443,WALK
601,to_walk-69,,,data,1443,WALK
602,to_walk-70,,,data,1443,WALK
603,to_walk-71,,,data,1443,WALK
604,to_walk-72,,,data,1443,WALK
605,to_walk-73,,,data,1443,WALK
606,to_walk-74,,,data,1443,WALK
607,to_walk-75,,,data,1443,WALK
608,to_walk-76,,,data,1443,WALK
609,to_walk-77,,,data,1443,WALK
610,to_walk-78,,,data,1443,WALK
611,to_walk-79,,,data,1443,WALK
612,to_walk-80,,,data,1443,WALK
613,to_walk-81,,,data,1443,WALK
614,to_walk-82,,,data,1443,WALK
615,to_walk-83,,,data,1443,WALK
616,to_walk-84,,,data,1443,WALK
617,to_walk-85,,,data,1443,WALK
618,to_walk-86,,,data,1443,WALK
619,to_walk-87,,,data,1443,WALK
620,to_walk-88,,,data,1443,WALK
621,to_walk-89,,,data,1443,WALK
622,to_walk-90,,,data,1443,WALK
623,to_walk-91,,,data,1443,WALK
624,to_walk-92,,,data,1443,WALK
625,to_walk-93,,,data,1443,WALK
626,to_walk-94,,,data,1443,WALK
627,to_walk-95,,,data,1443,WALK
628,to_walk-96,,,data,1443,WALK
629,to_walk-97,,,data,1443,WALK
630,to_walk-98,,,data,1443,WALK
631,to_walk-99,,,data,1443,WALK
632,to_walk-100,,,data,1443,WALK
633,to_walk-101,,,data,1443,WALK
634,to_walk-102,,,data,1443,WALK
635,to_walk-103,,,data,1443,WALK
636,to_walk-104,,,data,1443,WALK
637,to_walk-105,,,data,1443,WALK
638,to_walk-106,,,data,1443,WALK
639,to_walk-107,,,data,1443,WALK
640,to_walk-108,,,data,1443,WALK
641,to_walk-109,,,data,1443,WALK
642,to_walk-110,,,data,1443,WALK
643,to_walk-111,,,data,1443,WALK
644,to_walk-112,,,data,1443,WALK
645,to_walk-113,,,data,1443,WALK
646,to_walk-114,,,data,1443,WALK
647,to_walk-115,,,data,1443,WALK
648,to_walk-116,,,data,1443,WALK
649,to_walk-117,,,data,1443,WALK
650,to_walk-118,,,data,1443,WALK
651,to_walk-119,,,data,1443,WALK
652,to_walk-120,,,data,1443,WALK
653,to_walk-121,,,data,1443,WALK
654,to_walk-122,,,data,1443,WALK
655,to_walk-123,,,data,1443,WALK
656,to_walk-124,,,data,1443,WALK
657,to_walk-125,,,data,1443,WALK
658,to_walk-126,,,data,1443,WALK
659,to_walk-127,,,data,1443,WALK
660,to_walk-128,,,data,1443,WALK
661,to_walk-129,,,data,1443,WALK
